date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:10:20	48/48	---MCZ	200	added ('OK')	text/plain	etag:f84dd2eadf71d19ac07834f908eaa482	https://christiangarry.com/robots.txt		(from )
00:10:20	59395/59395	---MCZ	200	added ('OK')	text/html	etag:6630d80fdd7486ed2ef20663d8bbcb44	https://christiangarry.com/	D:/CV/CV/christiangarry.com/index.html	(from )
00:10:21	427/427	---MCZ	200	added ('OK')	application/manifest+json	etag:b07f705da93299f8f69f7f1c3a93fcfa	https://christiangarry.com/manifest.webmanifest	D:/CV/CV/christiangarry.com/manifest.webmanifest	(from https://christiangarry.com/)
00:10:21	32973/32973	---MCZ	200	added ('OK')	application/javascript	etag:65e71e3b5afa7f610d64c303269a22e8	https://christiangarry.com/sw.js	D:/CV/CV/christiangarry.com/sw.js	(from https://christiangarry.com/)
00:10:21	75795/75795	---MCZ	200	added ('OK')	text/html	etag:8590c43fa26415ef8aa2ca8359adfb3e	https://christiangarry.com/sic-jfet-rtl-cpu	D:/CV/CV/christiangarry.com/sic-jfet-rtl-cpu.html	(from https://christiangarry.com/)
00:10:21	55275/55275	---MCZ	200	added ('OK')	text/html	etag:178111c850defd96d2d565fd18eeb51e	https://christiangarry.com/hydrogen-fuel-system	D:/CV/CV/christiangarry.com/hydrogen-fuel-system.html	(from https://christiangarry.com/)
00:10:21	55302/55302	---MCZ	200	added ('OK')	text/html	etag:37667471f51db458b93f89ee2d14c06a	https://christiangarry.com/electronic-differential	D:/CV/CV/christiangarry.com/electronic-differential.html	(from https://christiangarry.com/)
00:10:22	52817/52817	---MCZ	200	added ('OK')	text/html	etag:d5017592451e69e51a25bafe80ebdfb2	https://christiangarry.com/about-me	D:/CV/CV/christiangarry.com/about-me.html	(from https://christiangarry.com/)
00:10:22	329412/329412	---M-Z	200	added ('OK')	text/javascript	date:Thu,%2012%20Oct%202023%2023:10:20%20GMT	https://img1.wsimg.com/poly/v3/polyfill.min.js?rum=0&unknown=polyfill&flags=gated&features=Intl.~locale.en-GB	D:/CV/CV/img1.wsimg.com/poly/v3/polyfill.min0b31.js	(from https://christiangarry.com/)
00:10:24	61067/61067	---M-Z	200	added ('OK')	application/javascript	etag:%22f7f1649b19a63141aed1e26f719dc69c%22	http://img1.wsimg.com/blobby/go/3c6514b3-c16b-48b5-881f-6c2a381070af/gpub/deff481271fa5cea/script.js	D:/CV/CV/img1.wsimg.com/blobby/go/3c6514b3-c16b-48b5-881f-6c2a381070af/gpub/deff481271fa5cea/script.js	(from https://christiangarry.com/)
